4.213.25.241,192.168.0.101,TCP,54
192.168.0.101,4.213.25.241,TCP,54
192.168.0.101,192.168.0.1,UDP,85
192.168.0.1,192.168.0.101,UDP,174
192.168.0.101,4.213.25.241,UDP,92
192.168.0.101,4.213.25.241,UDP,92
172.217.194.188,192.168.0.101,TCP,54
192.168.0.101,172.217.194.188,TCP,54
192.168.0.101,4.213.25.241,TCP,55
4.213.25.241,192.168.0.101,TCP,66
192.168.0.101,4.213.25.241,UDP,92
192.168.0.101,192.168.0.1,UDP,78
192.168.0.101,192.168.0.1,UDP,78
192.168.0.1,192.168.0.101,UDP,126
192.168.0.101,172.67.72.12,TCP,66
192.168.0.1,192.168.0.101,UDP,126
172.67.72.12,192.168.0.101,TCP,66
192.168.0.101,172.67.72.12,TCP,54
192.168.0.101,172.67.72.12,TCP,571
172.67.72.12,192.168.0.101,TCP,54
172.67.72.12,192.168.0.101,TCP,1494
172.67.72.12,192.168.0.101,TCP,1475
192.168.0.101,172.67.72.12,TCP,54
192.168.0.101,172.67.72.12,TCP,134
192.168.0.101,172.67.72.12,TCP,327
172.67.72.12,192.168.0.101,TCP,54
44.208.206.212,192.168.0.101,TCP,54
192.168.0.101,192.168.0.1,UDP,87
192.168.0.101,192.168.0.1,UDP,87
192.168.0.1,192.168.0.101,UDP,143
192.168.0.101,172.67.72.12,TCP,66
172.67.72.12,192.168.0.101,TCP,66
192.168.0.101,172.67.72.12,TCP,54
192.168.0.101,172.67.72.12,TCP,571
172.67.72.12,192.168.0.101,TCP,54
172.67.72.12,192.168.0.101,TCP,1494
172.67.72.12,192.168.0.101,TCP,1476
192.168.0.101,172.67.72.12,TCP,54
192.168.0.101,172.67.72.12,TCP,134
192.168.0.101,172.67.72.12,TCP,329
172.67.72.12,192.168.0.101,TCP,54
192.168.0.100,224.0.0.251,UDP,103
192.168.0.101,192.168.0.1,UDP,86
192.168.0.1,192.168.0.101,UDP,141
192.168.0.101,224.0.0.251,UDP,86
192.168.0.101,224.0.0.251,UDP,86
192.168.0.101,224.0.0.252,UDP,86
192.168.0.101,192.168.0.100,UDP,92
192.168.0.100,192.168.0.101,ICMP,120
192.168.0.101,224.0.0.252,UDP,86
192.168.0.101,224.0.0.251,UDP,86
192.168.0.101,192.168.0.100,UDP,92
172.217.194.188,192.168.0.101,TCP,54
192.168.0.101,172.217.194.188,TCP,54
192.168.0.100,192.168.0.101,ICMP,120
108.158.46.39,192.168.0.101,TCP,54
192.168.0.101,108.158.46.39,TCP,54
192.168.0.101,192.168.0.100,UDP,92
20.250.119.64,192.168.0.101,TCP,93
20.250.119.64,192.168.0.101,TCP,78
20.250.119.64,192.168.0.101,TCP,54
192.168.0.101,20.250.119.64,TCP,54
192.168.0.101,20.250.119.64,TCP,110
192.168.0.101,20.250.119.64,TCP,54
192.168.0.100,192.168.0.101,ICMP,120
20.250.119.64,192.168.0.101,TCP,54
20.250.119.64,192.168.0.101,TCP,54
192.168.0.101,192.168.0.1,UDP,84
192.168.0.101,192.168.0.1,UDP,84
192.168.0.1,192.168.0.101,UDP,112
192.168.0.1,192.168.0.101,UDP,112
192.168.0.101,192.168.0.1,UDP,84
192.168.0.1,192.168.0.101,UDP,139
192.168.0.101,224.0.0.251,UDP,84
